,SDSME names,New proposed names,Parameters,Function,Notes
0000,Nop,Nop,-,Nothing,
0001,Nop1,Dummy,-,Nothing,Has exactly the same ASM code as Nop.
0002,End,End,-,End script execution,
0003,Return2,WaitTime,u16: Time; Var: Countdown Variable,"Stop script execution for Time frames, storing the remaining time in the Countdown Variable",
0004,,RegValueSet,u8: Script Register; u8: Value,Assigns Value to Script Register value,
0005,,RegDataSet,u8: Script Register; u32: Value,Assigns Value to Script Register value,
0006,,RegAdrsSet,u8: Script Register; u32: Address,Assigns data in Address offset to Script Register value,
0007,,AdrsValueSet,u32: Address; u8: Value,Assigns Value to the Address offset,
0008,,AdrsRegSet,u32: Address; u8: Script Register,Assigns Script Register value to the Address offset,
0009,,RegRegSet,u8: Script Register 1; u8: Script Register 2,Assigns Script Register 2 value to Script Register 1 value,
000A,,AdrsAdrsSet,u32: Address 1; u32: Address 2,Assigns data in Address 2 to the Address 1 offset,
000B,,CompareRegs,u8: Script Register; u8: Script Register,Compares two Script Register,
000C,,CompareRegValue,u8: Script Register; u8: Value,Compares Script Register value with Value,
000D,,CompareRegAdrs,u8: Script Register; u32: Address,Compares Script Register value with data in Address,
000E,,CompareAdrsReg,u32: Address; u8: Script Register,Compares data in Address with Script Register value,
000F,,CompareAdrsValue,u32: Address; u8: Value,Compares data in Address with Value,
0010,,CompareAdrsAdrs,u32: Address 1; u32: Address 2,Compares data in Address 1 with data in Address 2,
0011,If,CompareVarValue,Var: Variable; u16: Value,Compares Variable value with Value,
0012,If2,CompareVars,Var: Variable 1; Var: Variable 2,Compares Variable 1 value with Variable 2 value,
0013,,ParallelCommonScript,u16: ???,???,Somehow related with parallel common script execution.
0014,CallStandard,CommonScript,u16: Global Script ID,Calls Global Script ID script,"The Common Script table is located at 0xFA48C in IPKS arm9.bin, ordered from highest to lowest with structure: u16 Global Script ID | u16 Script file | u16 Text file. The executed script inside script file is determined as: used Global Script ID - tabulated Global Script ID."
0015,,LocalScript,-,Returns to the invoking script/function after a Common Script,
0016,Jump,Jump,u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward",Relative Jump can have negative values (backward jump).
0017,,JumpIfObjID,u8: Event ID; u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward, if invoking event has Event ID as ID",
0018,,JumpIfBgID,u8: ???; u32: Relative Jump,???,Maybe jumps to a function if invoking event has a specific ID.
0019,,JumpIfPlayerDir,u8: Player Direction; u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward, if player is looking in Player Direction",Supposed. Needs to be tested in game.
001A,Call,Call,u32: Relative Jump,"Calls a function, Relative Jump bytes forward or backward",Can be used to make loops when calling the own invoking function.
001B,Return,Return,-,Returns to the invoking script/function after a Call,
001C,CompareLastResultJump,JumpIf,u8: Condition; u32: Relative Jump,"If Condition in the condition table, jumps to a function","Ask AdAstra for the condition list. Condition table is updated after a CompareVarValue, CompareVars, CheckFlag..."
001D,CompareLastResultCall,CallIf,u8: Condition; u32: Relative Jump,"If Condition in the condition table, calls a function",
001E,SetFlag,SetFlag,u16: Flag,Sets Flag to 1,
001F,ClearFlag,ClearFlag,u16: Flag,Sets Flag to 0,
0020,CheckFlag,CheckFlag,u16: Flag,Checks if Flag is set,It updates the internal condition flag and maybe part of the condition table.
0021,,SetFlagFromVar,Var: Flag,Sets the flag whose ID is stored in Flag,
0022,,ClearFlagFromVar,Var: Flag,Clears the flag whose ID is stored in Flag,
0023,,FlagStatusToVar,Var: Flag; Var: Variable,Checks if Flag is set and store the result in Variable,
0024,,SetTrainerFlag,Flex: Trainer ID,"Sets the flag of Trainer ID, so marks it as beaten trainer",So this trainer will not battle against you. Used in every Gym after the leader is beaten.
0025,,ClearTrainerFlag,Flex: Trainer ID,"Clears the flag of Trainer ID, so marks it as unbeaten trainer",So this trainer can be challenged again.
0026,,CheckTrainerFlag,Flex: Trainer ID,Checks if Trainer ID has been beaten,It updates the internal condition flag and maybe part of the condition table.
0027,Copy,IncrementVar,Var: Variable; Flex: Operand,Stores the operation Variable + Operand in Variable,
0028,,DecrementVar,Var: Variable; Flex: Operand,Stores the operation Variable - Operand in Variable,
0029,SetVar,SetVar,Var: Variable; u16: Value,Stores Value in Variable,
002A,CopyVar,SetVarFromVariable,Var: Variable 1; Var: Variable 2,Assigns value of Variable 2 to Variable 1,
002B,,SetVarFromFlexible,Var: Variable; Flex: Flexible Value,Stores Flexible Value (or its value if variable) in Variable,
002C,,MessageAll,u8: Text Slot,"Display line Text Slot from the text file, all at once",
002D,Message,Message,u8: Text Slot,Display line Text Slot from the text file,
002E,Message2,MessageFlex,Flex: Text Slot,Display line Text Slot from the text file,"Unlike 002D, this command also accepts a variable as the input field."
002F,,MessageNoSkip,Flex: Text Slot,???,
0030,,,u8: Text Slot,???,
0031,,WaitAB,-,Waits for button A or button B to be pressed,Somehow it uses ScrReg 0 as countdown.
0032,WaitButton,WaitButton,-,Waits for a button to be pressed,"It seems only A, B, X and direction pad buttons work."
0033,,WaitABPad,-,"Waits for button A, button B or pad buttons to be pressed",Supposed. Needs to be tested in game.
0034,,OpenMessage,-,???,
0035,CloseMessageOnKeyPress,CloseMessage,-,Closes message box,"SDSME name is misleading, for no button is needed to be pressed."
0036,FreezeMessageBox,FreezeMessage,-,???,Probably keeps the message box alive after a script. ASM differs with CloseMessage only in a BL instruction.
0037,CallMessageBox,SetIconBoard,u8: Text Slot; u8: Type; u16: Icon; u16: ???,"Prepares an icon board message box displaying Text Slot message, of Type type, and with Icon image if chosen type supports it","Type values from 0 to 3 are: brown (with icon), green (with icon), gray and blue."
0038,ColorMessageBox,SetTextBoard,u8: Type; u16: Icon,"Prepares a text board message box of Type type, and with Icon image if chosen type supports it","Type values from 0 to 3 are: brown (with icon), green (with icon), gray and blue."
0039,TypeMessageBox,ShowBoard,u8: Process,Triggers different Process processes for the board,"Process value 0 keeps the board, value 1 creates the board, value 2 hides the board, value 3 shows the board and value 4 deletes the board."
003A,NoMapMessageBox,WaitBoard,-,Waits the board last process to end,Supposed.
003B,,BoardMessage,u8: Text Slot; u16: Variable,"Displays Text Slot message in the current text box, stores the current text box status in Variable",
003C,,CloseBoard,Var: Variable,"Returns 1 to Variable if the player has pressed a button so the board must close, 0 otherwise",Variable is stored in ScrReg 0. Command waits for a button to be pressed and stores result in Variable.
003D,,Menu,-,,
003E,,,u8: ???; u8: ???; u8: ???; u8: ???; u8: ???; u8: ???,,
003F,,YesNoBox,Var: Variable,Opens a Yes-No dialog and stores user response in Variable,Variable is stored in ScrReg 0.
0040,Multi,MultiStandardText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection menu at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with text bank #321, returns selected slot ID in Selection","If Cancel is 1, the user can select the last option by pressing B button."
0041,Multi2,MultiLocalText,u8: X; u8: Y; u8: Cursor; u8: Cancel; Var: Selection,"Prepares a multiple selection menu at X and Y screen position, with Cursor default selected option and possibility of cancelling depending on Cancel, with local texts, returns selected slot ID in Selection","If Cancel is 1, the user can select the last option by pressing B button."
0042,TextScriptMulti,AddMultiOption,u8: Text Slot; u8: Multi Slot,Adds an option with Multi Slot ID showing Text Slot text,
